phi,coronal,sagittal
0.332857,0.391068,0.692368
0.333571,0.677109,0.647267
0.334286,0.672031,0.638914
0.335,0.667953,0.632603
0.335714,0.725835,0.51351
0.336429,0.392363,0.693636
0.337143,0.678796,0.642936
0.337857,0.673447,0.636224
0.338571,0.73647,0.515767
0.339286,0.398536,0.693323
0.34,0.684187,0.642591
0.340714,0.678531,0.63588
0.341429,0.673762,0.629741
0.342143,0.731576,0.511386
0.342857,0.397236,0.691622
0.343571,0.684429,0.64111
0.344286,0.685142,0.62963
0.345,0.74,0.515433
0.345714,0.638902,0.681301
0.346429,0.388239,0.659841
0.347143,0.702951,0.621704
0.347857,0.68373,0.627247
0.348571,0.747777,0.51386
0.349286,0.642418,0.678549
0.35,0.389778,0.657668
0.350714,0.702193,0.620347
0.351429,0.757219,0.516031
0.352143,0.651039,0.678049
0.352857,0.661971,0.644246
0.353571,0.663018,0.631704
0.354286,0.341063,0.496742
0.355,0.681575,0.675571
0.355714,0.686623,0.645693
0.356429,0.696395,0.626173
0.357143,0.679528,0.627516
0.357857,0.73429,0.508591
0.358571,0.638258,0.677041
0.359286,0.384928,0.655362
0.36,0.701427,0.617721
0.360714,0.752496,0.511659
0.361429,0.651109,0.674192
0.362143,0.661997,0.640663
0.362857,0.386947,0.643153
0.363571,0.771592,0.507574
0.364286,0.666546,0.668889
0.365,0.673882,0.638657
0.365714,0.675644,0.624578
0.366429,0.725823,0.50225
0.367143,0.39464,0.684785
0.367857,0.688679,0.632586
0.368571,0.686973,0.621715
0.369286,0.740291,0.505679
0.37,0.643826,0.672292
0.370714,0.386125,0.651552
0.371429,0.703536,0.613847
0.372143,0.755356,0.50772
0.372857,0.653566,0.670575
0.373571,0.663619,0.636906
0.374286,0.384042,0.637971
0.375,0.773047,0.50354
0.375714,0.667224,0.665196
0.376429,0.682127,0.629176
0.377143,0.669084,0.62434
0.377857,0.718046,0.496913
0.378571,0.38888,0.68122
0.379286,0.687285,0.628523
